iter	Passed	Remaining
0	1	148
1	2	133
2	4	130
3	5	127
4	6	126
5	7	124
6	9	123
7	10	120
8	11	119
9	12	116
10	14	116
11	15	115
12	17	114
13	18	112
14	19	112
15	21	110
16	22	109
17	23	106
18	24	105
19	25	103
20	27	102
21	28	101
22	29	99
23	31	98
24	32	96
25	33	95
26	34	94
27	36	92
28	37	91
29	38	89
30	39	88
31	41	87
32	42	86
33	43	84
34	45	83
35	46	82
36	47	81
37	48	79
38	50	78
39	51	77
40	52	75
41	53	73
42	54	72
43	55	70
44	56	69
45	58	68
46	59	67
47	60	65
48	62	64
49	63	63
50	64	61
51	65	60
52	67	59
53	68	58
54	69	56
55	70	55
56	71	54
57	73	53
58	74	51
59	76	50
60	77	49
61	78	48
62	79	46
63	81	45
64	82	44
65	83	43
66	85	41
67	86	40
68	87	39
69	89	38
70	90	36
71	91	35
72	92	34
73	94	33
74	95	31
75	96	30
76	97	29
77	99	27
78	100	26
79	102	25
80	103	24
81	104	22
82	105	21
83	107	20
84	108	19
85	109	17
86	111	16
87	112	15
88	113	14
89	114	12
90	116	11
91	117	10
92	118	8
93	120	7
94	121	6
95	122	5
96	124	3
97	125	2
98	126	1
99	127	0
